type,Rank,Name,Institution,Set A Works,Set B Works,Overlap Score,Career Citations,ORCID,OpenAlex ID,Note,journal_1_openalex_id,journal_2_openalex_id
author,22,Rami Ghannam,Purdue University West Lafayette,1,2,3,2014,0000-0001-6910-9280,A5050741219,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,23,Teng Zhang,Peking University,1,2,3,3338,0000-0003-2011-5940,A5100372519,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,24,Yuchao Yang,Qingdao University,1,2,3,15036,0000-0003-4674-4059,A5057584787,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,25,Gianluca Milano,Politecnico di Torino,1,2,3,2225,0000-0002-1983-6516,A5019872023,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,26,Sayani Majumdar,Tampere University of Applied Sciences,1,2,3,2365,0000-0001-7779-3959,A5019886362,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,27,Houji Zhou,Huazhong University of Science and Technology,1,2,3,318,0000-0003-1751-5265,A5027705336,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,28,Ling Yang,Xiamen University,1,2,3,922,0000-0002-5727-688X,A5086310230,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,29,E. Miranda,Universitat Autònoma de Barcelona,2,1,3,7468,0000-0003-0470-5318,A5041660505,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,30,Doo Seok Jeong,Hanyang University,1,2,3,7974,0000-0001-7954-2213,A5082971950,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,31,Yeonjin Yi,Yonsei University,2,1,3,7306,0000-0003-4944-8319,A5088900746,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,32,Jing Liu,Minzu University of China,2,1,3,35019,0000-0002-0844-5296,A5100374963,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,33,Sharath Sriram,MIT University,2,1,3,15278,0000-0002-8365-7504,A5027970792,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,34,Madhu Bhaskaran,RMIT University,2,1,3,16723,0000-0003-4319-1081,A5074967383,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,35,Fabrizio Scarpa,At Bristol,1,2,3,26734,0000-0002-5470-4834,A5090078952,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,36,Sachin Kadian,North Carolina State University,2,1,3,2032,0000-0002-2804-1109,A5048222109,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,37,Mahshid Ahmadi,Knoxville College,2,1,3,4136,0000-0002-3268-7957,A5031658248,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,38,Ki Jun Yu,Pohang University of Science and Technology,1,2,3,16706,0000-0002-2922-2702,A5006572968,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,39,Dewei Chu,UNSW Sydney,2,1,3,16310,0000-0003-4581-0560,A5087368019,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,40,Mun Seok Jeong,Hanyang University,2,1,3,8621,0000-0002-7019-8089,A5057140860,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,41,Hongsheng Chen,Zhejiang International Studies University,2,1,3,22993,0000-0002-5735-9781,A5100705712,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,42,Cheol Seong Hwang,ON Semiconductor (United States),2,1,3,45768,0000-0002-6254-9758,A5027075775,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,43,Xiaobing Yan,Hebei University,2,1,3,8671,0000-0002-3266-515X,A5017885171,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,44,Yuanzhi Zhou,South China Normal University,1,2,3,70,0000-0002-3972-4300,A5080371701,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,45,Guoyuan Zhou,South China Normal University,1,2,3,124,0000-0001-6004-1101,A5090467578,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,46,Xinming Li,Target (United States),1,2,3,16010,0000-0002-7844-8417,A5100688675,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,47,Islam S. M. Khalil,University of Twente,1,2,3,3080,0000-0003-0617-088X,A5014013189,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,48,Aiping Chen,Los Alamos National Laboratory,1,2,3,8275,0000-0003-2639-2797,A5058347557,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,49,Sang‐Bum Kim,Seoul Semiconductor (South Korea),1,2,3,9620,0000-0001-7460-3750,A5088806568,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,50,Haiyan Wang,Purdue University West Lafayette,1,2,3,50055,0000-0002-7397-1209,A5100354459,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,51,Bingpu Zhou,University of Macau,1,2,3,4842,0000-0003-4866-3105,A5006272338,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,52,Pavel Borisov,Loughborough University,1,1,2,3951,0000-0003-1464-6999,A5058304239,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,53,A. G. Balanov,Loughborough University,1,1,2,2783,0000-0002-1678-0756,A5073249067,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,54,Nicola Lepri,Politecnico di Milano,1,1,2,367,0000-0001-7602-4058,A5013456803,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,55,Daniele Ielmini,Consorzio di Bioingegneria e Informatica Medica,1,1,2,26221,0000-0002-1853-1614,A5054173368,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,56,Ning Lin,Southern University of Science and Technology,1,1,2,1149,0000-0002-6198-7043,A5100635306,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,57,Zhongrui Wang,Hebei Agricultural University,1,1,2,22247,0000-0003-2264-0677,A5090042508,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,58,Michele Ceriotti,Swiss Polar Institute,1,1,2,16723,0000-0003-2571-2832,A5021241296,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,59,Fei Wang,China National Offshore Oil Corporation (China),1,1,2,21239,0000-0003-1871-1022,A5100455941,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,60,Muhammad Ali Imran,University of Lahore,1,1,2,32792,0000-0003-4743-9136,A5100331811,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,61,Qammer H. Abbasi,University of Glasgow,1,1,2,11845,0000-0002-7097-9969,A5047892843,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,62,Keqin Liu,Peking University,1,1,2,3717,0000-0002-7995-7125,A5007144865,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,63,Yaoyu Tao,Peking University,1,1,2,544,0000-0001-7500-5250,A5072208883,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,64,Carlo Ricciardi,Politecnico di Torino,1,1,2,4382,0000-0002-4703-7949,A5026131298,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,65,Julie Grollier,Centre National de la Recherche Scientifique,1,1,2,13807,0000-0003-4866-4490,A5035082537,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,66,Benji Maruyama,United States Air Force Research Laboratory,1,1,2,6839,0000-0002-3832-628X,A5102919383,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,67,N. M. Anoop Krishnan,Indian Institute of Technology Delhi,1,1,2,4465,0000-0003-1500-4947,A5065129881,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,68,Vivek Parmar,Indian Institute of Technology Delhi,1,1,2,1852,0000-0001-7380-0816,A5066176656,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,69,Sandeep Kaur Kingra,Indian Institute of Technology Delhi,1,1,2,1552,0000-0002-1598-7069,A5074593268,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,70,Manan Suri,Universiti Sains Malaysia,1,1,2,3509,0000-0003-1417-3570,A5008011360,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,71,Xiangpeng Liang,Fraunhofer Institute for Integrated Circuits,1,1,2,1269,0000-0001-5243-0457,A5015442364,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,72,Meraj Ahmad,University of Glasgow,1,1,2,536,0000-0003-2951-7161,A5037729653,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,73,Fiheon Imroze,Indian Institute of Technology Madras,1,1,2,60,0000-0002-5199-8873,A5039424562,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
