type,Rank,Name,Institution,Set A Works,Set B Works,Overlap Score,Career Citations,ORCID,OpenAlex ID,Note,journal_1_openalex_id,journal_2_openalex_id
author,111,Junsuk Rho,Pohang University of Science and Technology,1,1,2,29361,0000-0002-2179-2890,A5033298230,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,112,Chao Liu,First Affiliated Hospital of Henan University,1,1,2,2292,0000-0001-9202-0380,A5111581581,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,113,Yu‐Cheng Lin,University of Essex,1,1,2,1874,0000-0001-6112-3723,A5101685930,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,114,Hyoung Won Baac,Sungkyunkwan University,1,1,2,2297,0000-0001-9295-6162,A5010353613,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,115,Prasad P. Iyer,Sandia National Laboratories,1,1,2,1041,0000-0002-6898-3619,A5039525525,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,116,A. H. Harker,University College London,1,1,2,3066,0000-0003-0017-2745,A5077106950,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,117,Dong Sun,Ningbo University,1,1,2,17187,0000-0003-3945-4037,A5100382905,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,118,Ju Li,Zhejiang Chinese Medical University,1,1,2,87249,0000-0002-7841-8058,A5100609041,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,119,Wei Wang,Shihezi University,1,1,2,6084,0000-0002-7206-8659,A5100664972,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,120,Suhas Kumar,Sandia National Laboratories California,1,1,2,4174,0000-0002-6772-7250,A5058291122,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
author,121,Kai Liu,Qingdao University,1,1,2,19789,0000-0002-0638-5189,A5100399849,"from journal-overlap · APL Machine Learning, APL Quantum, Applied Physics Reviews × Advanced Intelligent Systems",S4387287287|S5407036145|S4210229136,S4210212817
